date,open,close,high,low,volume,amount
2016/1/4,10.78,9.7,10.84,9.68,232852,254639760
2016/1/5,8.97,9.36,9.73,8.92,311662,311115968
2016/1/6,9.38,9.62,9.62,9.33,170915,173812960
2016/1/7,9.45,8.59,9.45,8.59,49412,47167380
2016/1/8,8.84,8.68,8.99,8.22,248701,233157504
2016/1/11,8.62,7.76,8.64,7.74,276226,243967984
2016/1/12,7.86,7.83,7.91,7.6,172506,146142640
2016/1/13,7.85,7.77,7.97,7.5,142983,120701296
2016/1/14,7.52,7.92,8.01,7.34,167084,140893200
2016/1/15,7.75,7.71,7.97,7.41,192096,160852976
2016/1/18,7.43,7.76,7.89,7.42,173413,145010480
2016/1/19,7.76,8.02,8.05,7.65,196826,169010880
2016/1/20,7.94,7.86,8.13,7.8,145466,125782104
2016/1/21,7.69,7.57,7.9,7.35,180146,150148400
2016/1/22,7.58,7.57,7.67,7.32,125473,102988792
2016/1/25,7.63,7.57,7.65,7.48,106506,87975312
2016/1/26,7.48,6.75,7.49,6.75,237496,183874160
2016/1/27,6.76,6.29,6.82,6.01,301589,209841360
2016/1/28,6.25,6.23,6.66,6.13,258795,184044016
2016/1/29,6.24,6.77,6.92,6.15,272540,199107904
2016/2/1,6.73,6.45,6.86,6.34,161763,117302624
2016/2/2,6.44,6.78,6.89,6.44,169774,125914312
2016/2/3,6.83,7.06,7.27,6.78,241788,187353152
2016/2/4,7.09,7.47,7.74,7.02,331890,267003008
2016/2/5,7.5,7.12,7.55,7.12,229676,183922016
2016/2/15,6.76,7.29,7.41,6.6,248666,193768640
2016/2/16,7.33,7.75,8,7.23,354856,297833184
2016/2/17,7.7,8.07,8.2,7.62,449611,386576960
2016/2/18,8.01,8.11,8.5,7.92,491784,438384896
2016/2/19,8,7.97,8.18,7.78,314356,272497088
2016/2/22,8.17,8.07,8.22,7.98,271058,237622960
2016/2/23,8.06,7.89,8.08,7.75,246964,211648848
2016/2/24,7.68,8.16,8.16,7.68,256982,222704944
2016/2/25,8.22,7.28,8.24,7.28,336513,283051616
2016/2/26,7.29,7.06,7.41,6.72,244915,190521680
2016/2/29,7.1,6.67,7.29,6.47,223396,166235216
2016/3/1,6.82,7.41,7.41,6.74,551759,442588128
2016/3/2,7.6,8.22,8.22,7.59,919193,796999616
2016/3/3,8.8,8.7,9.11,8.63,1564264,1504927104
2016/3/4,8.7,8.12,9.01,7.91,1176609,1080007808
2016/3/7,8.23,8.21,8.55,7.95,770010,688395264
2016/3/8,8.11,7.93,8.11,7.42,636417,537744896
2016/3/9,7.62,7.62,7.86,7.44,417756,348185824
2016/3/10,7.65,7.53,8.02,7.47,487435,409443616
2016/3/11,7.22,7.29,7.44,7.08,336308,267195504
2016/3/14,7.32,7.52,7.74,7.32,362085,298951616
2016/3/15,7.44,7.35,7.54,7.18,276782,222931056
2016/3/16,7.33,7.13,7.42,7.06,251245,198411360
2016/3/17,7.15,7.46,7.47,7.15,318075,255106256
2016/3/18,7.47,7.71,7.78,7.41,450152,374683680
2016/3/21,7.75,8.08,8.25,7.71,621525,535506752
2016/3/22,7.89,7.75,7.95,7.73,384223,327954912
2016/3/23,7.71,7.87,7.88,7.69,265706,225321120
2016/3/24,7.82,7.69,8,7.63,362300,307393664
2016/3/25,7.6,7.79,7.92,7.58,232816,197017648
2016/3/28,7.7,7.61,7.83,7.57,237063,198994256
2016/3/29,7.62,7.43,7.67,7.33,195352,159047408
2016/3/30,7.5,7.66,7.67,7.48,195660,161480400
2016/3/31,7.74,7.62,7.75,7.61,196802,164725600
